,Date,DISTRICT,Weather Condition
134,2020-05-14,Arghakhanchi,Clear
135,2020-05-15,Arghakhanchi,Clear
136,2020-05-16,Arghakhanchi,Clear
137,2020-05-17,Arghakhanchi,Clear
138,2020-05-18,Arghakhanchi,Clear
139,2020-05-19,Arghakhanchi,Clear
140,2020-05-20,Arghakhanchi,Clear
141,2020-05-21,Arghakhanchi,Clear
142,2020-05-22,Arghakhanchi,Clear
143,2020-05-23,Arghakhanchi,Clear
144,2020-05-24,Arghakhanchi,Clear
145,2020-05-25,Arghakhanchi,Clear
146,2020-05-26,Arghakhanchi,Clear
147,2020-05-27,Arghakhanchi,Clear
148,2020-05-28,Arghakhanchi,Clear
149,2020-05-29,Arghakhanchi,Clear
150,2020-05-30,Arghakhanchi,Clear
151,2020-05-31,Arghakhanchi,Clear
152,2020-06-01,Arghakhanchi,Clear
153,2020-06-02,Arghakhanchi,Clear
154,2020-06-03,Arghakhanchi,Clear
155,2020-06-04,Arghakhanchi,Clear
156,2020-06-05,Arghakhanchi,Clear
157,2020-06-06,Arghakhanchi,Clear
158,2020-06-07,Arghakhanchi,Clear
159,2020-06-08,Arghakhanchi,Clear
160,2020-06-09,Arghakhanchi,Clear
161,2020-06-10,Arghakhanchi,Clear
162,2020-06-11,Arghakhanchi,Clear
163,2020-06-12,Arghakhanchi,Clear
164,2020-06-13,Arghakhanchi,Clear
165,2020-06-14,Arghakhanchi,Clear
166,2020-06-15,Arghakhanchi,Clear
167,2020-06-16,Arghakhanchi,Clear
168,2020-06-17,Arghakhanchi,Clear
169,2020-06-18,Arghakhanchi,Rainy
170,2020-06-19,Arghakhanchi,Clear
171,2020-06-20,Arghakhanchi,Clear
172,2020-06-21,Arghakhanchi,Clear
173,2020-06-22,Arghakhanchi,Clear
174,2020-06-23,Arghakhanchi,Rainy
175,2020-06-24,Arghakhanchi,Rainy
176,2020-06-25,Arghakhanchi,Rainy
177,2020-06-26,Arghakhanchi,Rainy
178,2020-06-27,Arghakhanchi,Rainy
179,2020-06-28,Arghakhanchi,Rainy
180,2020-06-29,Arghakhanchi,Rainy
181,2020-06-30,Arghakhanchi,Rainy
182,2020-07-01,Arghakhanchi,Rainy
183,2020-07-02,Arghakhanchi,Rainy
184,2020-07-03,Arghakhanchi,Rainy
185,2020-07-04,Arghakhanchi,Rainy
186,2020-07-05,Arghakhanchi,Rainy
187,2020-07-06,Arghakhanchi,Rainy
188,2020-07-07,Arghakhanchi,Rainy
189,2020-07-08,Arghakhanchi,Rainy
190,2020-07-09,Arghakhanchi,Rainy
191,2020-07-10,Arghakhanchi,Rainy
192,2020-07-11,Arghakhanchi,Rainy
193,2020-07-12,Arghakhanchi,Rainy
194,2020-07-13,Arghakhanchi,Rainy
195,2020-07-14,Arghakhanchi,Rainy
196,2020-07-15,Arghakhanchi,Rainy
197,2020-07-16,Arghakhanchi,Rainy
198,2020-07-17,Arghakhanchi,Rainy
199,2020-07-18,Arghakhanchi,Rainy
200,2020-07-19,Arghakhanchi,Rainy
201,2020-07-20,Arghakhanchi,Rainy
202,2020-07-21,Arghakhanchi,Rainy
203,2020-07-22,Arghakhanchi,Rainy
204,2020-07-23,Arghakhanchi,Rainy
205,2020-07-24,Arghakhanchi,Rainy
206,2020-07-25,Arghakhanchi,Rainy
207,2020-07-26,Arghakhanchi,Rainy
208,2020-07-27,Arghakhanchi,Rainy
209,2020-07-28,Arghakhanchi,Rainy
210,2020-07-29,Arghakhanchi,Rainy
211,2020-07-30,Arghakhanchi,Rainy
212,2020-07-31,Arghakhanchi,Rainy
213,2020-08-01,Arghakhanchi,Rainy
214,2020-08-02,Arghakhanchi,Rainy
215,2020-08-03,Arghakhanchi,Rainy
216,2020-08-04,Arghakhanchi,Rainy
217,2020-08-05,Arghakhanchi,Rainy
218,2020-08-06,Arghakhanchi,Rainy
219,2020-08-07,Arghakhanchi,Rainy
220,2020-08-08,Arghakhanchi,Rainy
221,2020-08-09,Arghakhanchi,Rainy
222,2020-08-10,Arghakhanchi,Rainy
223,2020-08-11,Arghakhanchi,Rainy
224,2020-08-12,Arghakhanchi,Rainy
225,2020-08-13,Arghakhanchi,Rainy
226,2020-08-14,Arghakhanchi,Rainy
227,2020-08-15,Arghakhanchi,Rainy
228,2020-08-16,Arghakhanchi,Rainy
229,2020-08-17,Arghakhanchi,Rainy
230,2020-08-18,Arghakhanchi,Rainy
231,2020-08-19,Arghakhanchi,Rainy
232,2020-08-20,Arghakhanchi,Rainy
233,2020-08-21,Arghakhanchi,Rainy
234,2020-08-22,Arghakhanchi,Rainy
235,2020-08-23,Arghakhanchi,Rainy
236,2020-08-24,Arghakhanchi,Rainy
237,2020-08-25,Arghakhanchi,Rainy
238,2020-08-26,Arghakhanchi,Rainy
239,2020-08-27,Arghakhanchi,Rainy
240,2020-08-28,Arghakhanchi,Rainy
241,2020-08-29,Arghakhanchi,Rainy
242,2020-08-30,Arghakhanchi,Rainy
243,2020-08-31,Arghakhanchi,Rainy
244,2020-09-01,Arghakhanchi,Rainy
245,2020-09-02,Arghakhanchi,Rainy
246,2020-09-03,Arghakhanchi,Rainy
247,2020-09-04,Arghakhanchi,Rainy
248,2020-09-05,Arghakhanchi,Rainy
249,2020-09-06,Arghakhanchi,Rainy
250,2020-09-07,Arghakhanchi,Rainy
251,2020-09-08,Arghakhanchi,Rainy
252,2020-09-09,Arghakhanchi,Rainy
253,2020-09-10,Arghakhanchi,Cloudy
254,2020-09-11,Arghakhanchi,Rainy
255,2020-09-12,Arghakhanchi,Rainy
256,2020-09-13,Arghakhanchi,Rainy
257,2020-09-14,Arghakhanchi,Rainy
258,2020-09-15,Arghakhanchi,Rainy
259,2020-09-16,Arghakhanchi,Rainy
260,2020-09-17,Arghakhanchi,Cloudy
261,2020-09-18,Arghakhanchi,Cloudy
262,2020-09-19,Arghakhanchi,Cloudy
263,2020-09-20,Arghakhanchi,Rainy
264,2020-09-21,Arghakhanchi,Cloudy
265,2020-09-22,Arghakhanchi,Cloudy
266,2020-09-23,Arghakhanchi,Cloudy
267,2020-09-24,Arghakhanchi,Cloudy
268,2020-09-25,Arghakhanchi,Cloudy
269,2020-09-26,Arghakhanchi,Cloudy
270,2020-09-27,Arghakhanchi,Cloudy
271,2020-09-28,Arghakhanchi,Cloudy
272,2020-09-29,Arghakhanchi,Cloudy
273,2020-09-30,Arghakhanchi,Cloudy
274,2020-10-01,Arghakhanchi,Cloudy
275,2020-10-02,Arghakhanchi,Cloudy
276,2020-10-03,Arghakhanchi,Clear
277,2020-10-04,Arghakhanchi,Clear
278,2020-10-05,Arghakhanchi,Clear
279,2020-10-06,Arghakhanchi,Clear
280,2020-10-07,Arghakhanchi,Cloudy
281,2020-10-08,Arghakhanchi,Cloudy
282,2020-10-09,Arghakhanchi,Clear
283,2020-10-10,Arghakhanchi,Clear
284,2020-10-11,Arghakhanchi,Clear
285,2020-10-12,Arghakhanchi,Clear
286,2020-10-13,Arghakhanchi,Clear
287,2020-10-14,Arghakhanchi,Clear
288,2020-10-15,Arghakhanchi,Clear
289,2020-10-16,Arghakhanchi,Clear
290,2020-10-17,Arghakhanchi,Clear
291,2020-10-18,Arghakhanchi,Clear
292,2020-10-19,Arghakhanchi,Clear
293,2020-10-20,Arghakhanchi,Clear
294,2020-10-21,Arghakhanchi,Clear
295,2020-10-22,Arghakhanchi,Clear
296,2020-10-23,Arghakhanchi,Clear
297,2020-10-24,Arghakhanchi,Clear
298,2020-10-25,Arghakhanchi,Clear
299,2020-10-26,Arghakhanchi,Clear
300,2020-10-27,Arghakhanchi,Clear
301,2020-10-28,Arghakhanchi,Clear
302,2020-10-29,Arghakhanchi,Clear
303,2020-10-30,Arghakhanchi,Clear
304,2020-10-31,Arghakhanchi,Clear
305,2020-11-01,Arghakhanchi,Clear
306,2020-11-02,Arghakhanchi,Clear
307,2020-11-03,Arghakhanchi,Clear
308,2020-11-04,Arghakhanchi,Clear
309,2020-11-05,Arghakhanchi,Clear
310,2020-11-06,Arghakhanchi,Clear
311,2020-11-07,Arghakhanchi,Clear
312,2020-11-08,Arghakhanchi,Clear
313,2020-11-09,Arghakhanchi,Clear
314,2020-11-10,Arghakhanchi,Clear
315,2020-11-11,Arghakhanchi,Clear
316,2020-11-12,Arghakhanchi,Clear
317,2020-11-13,Arghakhanchi,Clear
318,2020-11-14,Arghakhanchi,Clear
319,2020-11-15,Arghakhanchi,Clear
320,2020-11-16,Arghakhanchi,Clear
321,2020-11-17,Arghakhanchi,Clear
322,2020-11-18,Arghakhanchi,Clear
323,2020-11-19,Arghakhanchi,Clear
324,2020-11-20,Arghakhanchi,Clear
325,2020-11-21,Arghakhanchi,Clear
326,2020-11-22,Arghakhanchi,Clear
327,2020-11-23,Arghakhanchi,Clear
328,2020-11-24,Arghakhanchi,Clear
329,2020-11-25,Arghakhanchi,Clear
330,2020-11-26,Arghakhanchi,Clear
331,2020-11-27,Arghakhanchi,Clear
332,2020-11-28,Arghakhanchi,Clear
333,2020-11-29,Arghakhanchi,Clear
334,2020-11-30,Arghakhanchi,Clear
335,2020-12-01,Arghakhanchi,Clear
336,2020-12-02,Arghakhanchi,Clear
337,2020-12-03,Arghakhanchi,Clear
338,2020-12-04,Arghakhanchi,Clear
339,2020-12-05,Arghakhanchi,Clear
340,2020-12-06,Arghakhanchi,Clear
341,2020-12-07,Arghakhanchi,Clear
342,2020-12-08,Arghakhanchi,Clear
343,2020-12-09,Arghakhanchi,Clear
344,2020-12-10,Arghakhanchi,Clear
345,2020-12-11,Arghakhanchi,Clear
346,2020-12-12,Arghakhanchi,Clear
347,2020-12-13,Arghakhanchi,Clear
348,2020-12-14,Arghakhanchi,Clear
349,2020-12-15,Arghakhanchi,Clear
350,2020-12-16,Arghakhanchi,Clear
351,2020-12-17,Arghakhanchi,Clear
352,2020-12-18,Arghakhanchi,Clear
353,2020-12-19,Arghakhanchi,Clear
354,2020-12-20,Arghakhanchi,Clear
355,2020-12-21,Arghakhanchi,Clear
356,2020-12-22,Arghakhanchi,Clear
357,2020-12-23,Arghakhanchi,Clear
358,2020-12-24,Arghakhanchi,Clear
359,2020-12-25,Arghakhanchi,Clear
360,2020-12-26,Arghakhanchi,Clear
361,2020-12-27,Arghakhanchi,Clear
362,2020-12-28,Arghakhanchi,Clear
363,2020-12-29,Arghakhanchi,Clear
364,2020-12-30,Arghakhanchi,Clear
365,2020-12-31,Arghakhanchi,Clear
366,2020-01-01,Baglung,Clear
367,2020-01-02,Baglung,Clear
368,2020-01-03,Baglung,Clear
369,2020-01-04,Baglung,Clear
370,2020-01-05,Baglung,Clear
371,2020-01-06,Baglung,Clear
372,2020-01-07,Baglung,Clear
373,2020-01-08,Baglung,Clear
374,2020-01-09,Baglung,Clear
375,2020-01-10,Baglung,Clear
376,2020-01-11,Baglung,Clear
377,2020-01-12,Baglung,Clear
378,2020-01-13,Baglung,Clear
379,2020-01-14,Baglung,Clear
380,2020-01-15,Baglung,Clear
381,2020-01-16,Baglung,Clear
382,2020-01-17,Baglung,Clear
383,2020-01-18,Baglung,Clear
384,2020-01-19,Baglung,Clear
385,2020-01-20,Baglung,Clear
386,2020-01-21,Baglung,Clear
387,2020-01-22,Baglung,Clear
388,2020-01-23,Baglung,Clear
389,2020-01-24,Baglung,Clear
390,2020-01-25,Baglung,Clear
391,2020-01-26,Baglung,Clear
392,2020-01-27,Baglung,Clear
393,2020-01-28,Baglung,Clear
394,2020-01-29,Baglung,Clear
395,2020-01-30,Baglung,Clear
396,2020-01-31,Baglung,Clear
397,2020-02-01,Baglung,Clear
398,2020-02-02,Baglung,Clear
399,2020-02-03,Baglung,Clear
400,2020-02-04,Baglung,Clear
401,2020-02-05,Baglung,Clear
402,2020-02-06,Baglung,Clear
403,2020-02-07,Baglung,Clear
404,2020-02-08,Baglung,Clear
405,2020-02-09,Baglung,Clear
406,2020-02-10,Baglung,Clear
407,2020-02-11,Baglung,Clear
408,2020-02-12,Baglung,Clear
409,2020-02-13,Baglung,Clear
410,2020-02-14,Baglung,Clear
411,2020-02-15,Baglung,Clear
412,2020-02-16,Baglung,Clear
413,2020-02-17,Baglung,Clear
414,2020-02-18,Baglung,Clear
415,2020-02-19,Baglung,Clear
416,2020-02-20,Baglung,Clear
417,2020-02-21,Baglung,Clear
418,2020-02-22,Baglung,Clear
419,2020-02-23,Baglung,Clear
420,2020-02-24,Baglung,Clear
421,2020-02-25,Baglung,Clear
422,2020-02-26,Baglung,Clear
423,2020-02-27,Baglung,Clear
424,2020-02-28,Baglung,Clear
425,2020-02-29,Baglung,Clear
426,2020-03-01,Baglung,Clear
427,2020-03-02,Baglung,Clear
428,2020-03-03,Baglung,Clear
429,2020-03-04,Baglung,Clear
430,2020-03-05,Baglung,Clear
431,2020-03-06,Baglung,Clear
432,2020-03-07,Baglung,Clear
433,2020-03-08,Baglung,Clear
434,2020-03-09,Baglung,Clear
435,2020-03-10,Baglung,Clear
436,2020-03-11,Baglung,Clear
437,2020-03-12,Baglung,Clear
438,2020-03-13,Baglung,Clear
439,2020-03-14,Baglung,Clear
440,2020-03-15,Baglung,Clear
441,2020-03-16,Baglung,Clear
442,2020-03-17,Baglung,Clear
443,2020-03-18,Baglung,Clear
444,2020-03-19,Baglung,Clear
445,2020-03-20,Baglung,Clear
446,2020-03-21,Baglung,Clear
447,2020-03-22,Baglung,Clear
448,2020-03-23,Baglung,Clear
449,2020-03-24,Baglung,Clear
450,2020-03-25,Baglung,Clear
451,2020-03-26,Baglung,Clear
452,2020-03-27,Baglung,Clear
453,2020-03-28,Baglung,Clear
454,2020-03-29,Baglung,Clear
455,2020-03-30,Baglung,Clear
456,2020-03-31,Baglung,Clear
457,2020-04-01,Baglung,Clear
458,2020-04-02,Baglung,Clear
459,2020-04-03,Baglung,Clear
460,2020-04-04,Baglung,Clear
461,2020-04-05,Baglung,Clear
462,2020-04-06,Baglung,Clear
463,2020-04-07,Baglung,Clear
464,2020-04-08,Baglung,Clear
465,2020-04-09,Baglung,Clear
466,2020-04-10,Baglung,Clear
467,2020-04-11,Baglung,Clear
468,2020-04-12,Baglung,Clear
469,2020-04-13,Baglung,Clear
470,2020-04-14,Baglung,Clear
471,2020-04-15,Baglung,Clear
472,2020-04-16,Baglung,Clear
473,2020-04-17,Baglung,Clear
474,2020-04-18,Baglung,Clear
475,2020-04-19,Baglung,Clear
476,2020-04-20,Baglung,Clear
477,2020-04-21,Baglung,Clear
478,2020-04-22,Baglung,Clear
479,2020-04-23,Baglung,Clear
480,2020-04-24,Baglung,Clear
481,2020-04-25,Baglung,Clear
482,2020-04-26,Baglung,Clear
483,2020-04-27,Baglung,Clear
484,2020-04-28,Baglung,Clear
485,2020-04-29,Baglung,Clear
486,2020-04-30,Baglung,Clear
487,2020-05-01,Baglung,Clear
488,2020-05-02,Baglung,Clear
489,2020-05-03,Baglung,Clear
490,2020-05-04,Baglung,Clear
491,2020-05-05,Baglung,Clear
492,2020-05-06,Baglung,Clear
493,2020-05-07,Baglung,Clear
494,2020-05-08,Baglung,Clear
495,2020-05-09,Baglung,Clear
496,2020-05-10,Baglung,Clear
497,2020-05-11,Baglung,Clear
498,2020-05-12,Baglung,Clear
499,2020-05-13,Baglung,Clear
500,2020-05-14,Baglung,Clear
501,2020-05-15,Baglung,Clear
502,2020-05-16,Baglung,Clear
503,2020-05-17,Baglung,Clear
504,2020-05-18,Baglung,Clear
505,2020-05-19,Baglung,Clear
506,2020-05-20,Baglung,Clear
507,2020-05-21,Baglung,Clear
508,2020-05-22,Baglung,Clear
509,2020-05-23,Baglung,Clear
510,2020-05-24,Baglung,Clear
511,2020-05-25,Baglung,Clear
512,2020-05-26,Baglung,Clear
513,2020-05-27,Baglung,Clear
514,2020-05-28,Baglung,Clear
515,2020-05-29,Baglung,Clear
516,2020-05-30,Baglung,Clear
517,2020-05-31,Baglung,Clear
518,2020-06-01,Baglung,Clear
519,2020-06-02,Baglung,Clear
520,2020-06-03,Baglung,Clear
521,2020-06-04,Baglung,Clear
522,2020-06-05,Baglung,Clear
523,2020-06-06,Baglung,Clear
524,2020-06-07,Baglung,Clear
525,2020-06-08,Baglung,Clear
526,2020-06-09,Baglung,Clear
527,2020-06-10,Baglung,Clear
528,2020-06-11,Baglung,Clear
529,2020-06-12,Baglung,Clear
530,2020-06-13,Baglung,Clear
531,2020-06-14,Baglung,Rainy
532,2020-06-15,Baglung,Clear
533,2020-06-16,Baglung,Rainy
534,2020-06-17,Baglung,Clear
535,2020-06-18,Baglung,Clear
536,2020-06-19,Baglung,Rainy
537,2020-06-20,Baglung,Rainy
538,2020-06-21,Baglung,Rainy
539,2020-06-22,Baglung,Rainy
540,2020-06-23,Baglung,Rainy
541,2020-06-24,Baglung,Rainy
542,2020-06-25,Baglung,Rainy
543,2020-06-26,Baglung,Rainy
544,2020-06-27,Baglung,Rainy
545,2020-06-28,Baglung,Rainy
546,2020-06-29,Baglung,Rainy
547,2020-06-30,Baglung,Rainy
548,2020-07-01,Baglung,Rainy
549,2020-07-02,Baglung,Rainy
550,2020-07-03,Baglung,Rainy
551,2020-07-04,Baglung,Rainy
552,2020-07-05,Baglung,Rainy
553,2020-07-06,Baglung,Rainy
554,2020-07-07,Baglung,Rainy
555,2020-07-08,Baglung,Rainy
556,2020-07-09,Baglung,Rainy
557,2020-07-10,Baglung,Rainy
558,2020-07-11,Baglung,Rainy
559,2020-07-12,Baglung,Rainy
560,2020-07-13,Baglung,Rainy
561,2020-07-14,Baglung,Rainy
562,2020-07-15,Baglung,Rainy
563,2020-07-16,Baglung,Rainy
564,2020-07-17,Baglung,Rainy
565,2020-07-18,Baglung,Rainy
566,2020-07-19,Baglung,Rainy
567,2020-07-20,Baglung,Rainy
568,2020-07-21,Baglung,Rainy
569,2020-07-22,Baglung,Rainy
570,2020-07-23,Baglung,Rainy
571,2020-07-24,Baglung,Rainy
572,2020-07-25,Baglung,Rainy
573,2020-07-26,Baglung,Rainy
574,2020-07-27,Baglung,Rainy
575,2020-07-28,Baglung,Rainy
576,2020-07-29,Baglung,Rainy
577,2020-07-30,Baglung,Rainy
578,2020-07-31,Baglung,Rainy
579,2020-08-01,Baglung,Rainy
580,2020-08-02,Baglung,Rainy
581,2020-08-03,Baglung,Rainy
582,2020-08-04,Baglung,Rainy
583,2020-08-05,Baglung,Rainy
584,2020-08-06,Baglung,Rainy
585,2020-08-07,Baglung,Rainy
586,2020-08-08,Baglung,Rainy
587,2020-08-09,Baglung,Rainy
588,2020-08-10,Baglung,Rainy
589,2020-08-11,Baglung,Rainy
590,2020-08-12,Baglung,Rainy
591,2020-08-13,Baglung,Rainy
592,2020-08-14,Baglung,Rainy
593,2020-08-15,Baglung,Rainy
594,2020-08-16,Baglung,Rainy
595,2020-08-17,Baglung,Rainy
596,2020-08-18,Baglung,Rainy
597,2020-08-19,Baglung,Rainy
598,2020-08-20,Baglung,Rainy
599,2020-08-21,Baglung,Rainy
600,2020-08-22,Baglung,Rainy
601,2020-08-23,Baglung,Rainy
602,2020-08-24,Baglung,Rainy
603,2020-08-25,Baglung,Rainy
604,2020-08-26,Baglung,Rainy
605,2020-08-27,Baglung,Rainy
606,2020-08-28,Baglung,Rainy
607,2020-08-29,Baglung,Cloudy
608,2020-08-30,Baglung,Cloudy
609,2020-08-31,Baglung,Rainy
610,2020-09-01,Baglung,Rainy
611,2020-09-02,Baglung,Rainy
612,2020-09-03,Baglung,Rainy
613,2020-09-04,Baglung,Rainy
614,2020-09-05,Baglung,Rainy
615,2020-09-06,Baglung,Rainy
616,2020-09-07,Baglung,Rainy
617,2020-09-08,Baglung,Rainy
618,2020-09-09,Baglung,Rainy
619,2020-09-10,Baglung,Rainy
620,2020-09-11,Baglung,Rainy
621,2020-09-12,Baglung,Rainy
622,2020-09-13,Baglung,Rainy
623,2020-09-14,Baglung,Rainy
624,2020-09-15,Baglung,Cloudy
625,2020-09-16,Baglung,Rainy
626,2020-09-17,Baglung,Cloudy
627,2020-09-18,Baglung,Cloudy
628,2020-09-19,Baglung,Cloudy
629,2020-09-20,Baglung,Cloudy
630,2020-09-21,Baglung,Cloudy
631,2020-09-22,Baglung,Cloudy
632,2020-09-23,Baglung,Cloudy
633,2020-09-24,Baglung,Cloudy
634,2020-09-25,Baglung,Cloudy
635,2020-09-26,Baglung,Cloudy
636,2020-09-27,Baglung,Cloudy
637,2020-09-28,Baglung,Cloudy
638,2020-09-29,Baglung,Cloudy
639,2020-09-30,Baglung,Cloudy
640,2020-10-01,Baglung,Cloudy
641,2020-10-02,Baglung,Cloudy
642,2020-10-03,Baglung,Cloudy
643,2020-10-04,Baglung,Cloudy
644,2020-10-05,Baglung,Cloudy
645,2020-10-06,Baglung,Cloudy
646,2020-10-07,Baglung,Cloudy
647,2020-10-08,Baglung,Cloudy
648,2020-10-09,Baglung,Cloudy
649,2020-10-10,Baglung,Cloudy
650,2020-10-11,Baglung,Cloudy
651,2020-10-12,Baglung,Cloudy
652,2020-10-13,Baglung,Cloudy
653,2020-10-14,Baglung,Cloudy
654,2020-10-15,Baglung,Clear
655,2020-10-16,Baglung,Clear
656,2020-10-17,Baglung,Clear
657,2020-10-18,Baglung,Clear
658,2020-10-19,Baglung,Clear
659,2020-10-20,Baglung,Clear
660,2020-10-21,Baglung,Clear
661,2020-10-22,Baglung,Clear
662,2020-10-23,Baglung,Clear
663,2020-10-24,Baglung,Clear
664,2020-10-25,Baglung,Clear
665,2020-10-26,Baglung,Clear
666,2020-10-27,Baglung,Clear
667,2020-10-28,Baglung,Clear
668,2020-10-29,Baglung,Clear
669,2020-10-30,Baglung,Clear
670,2020-10-31,Baglung,Clear
671,2020-11-01,Baglung,Clear
672,2020-11-02,Baglung,Clear
673,2020-11-03,Baglung,Clear
674,2020-11-04,Baglung,Clear
675,2020-11-05,Baglung,Clear
676,2020-11-06,Baglung,Clear
677,2020-11-07,Baglung,Clear
678,2020-11-08,Baglung,Clear
